Lat,Lon,Lon2,NORMALS 1981-2010,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANN
39.633333,102.183333,-102.183333,BONNY DAM 2NE, CO,0.43,0.43,1.06,1.81,2.64,2.63,3.11,2.04,1.56,1.30,0.60,0.49,18.10
38.450000,102.450000,-102.450000,BRANDON, CO,0.25,0.22,0.65,1.48,2.13,2.74,2.67,2.40,0.89,1.46,0.34,0.24,15.47
39.316667,102.266667,-102.266667,BURLINGTON, CO,0.32,0.44,1.00,1.66,2.60,2.60,3.05,2.51,1.09,1.36,0.56,0.46,17.65
37.016667,102.566667,-102.566667,CAMPO 7 S, CO,0.35,0.38,1.00,1.33,2.10,2.46,2.69,2.98,1.38,1.38,0.44,0.47,16.96
38.816667,102.350000,-102.350000,CHEYENNE WELLS, CO,0.26,0.38,0.81,1.26,2.42,2.54,3.22,2.67,1.29,1.15,0.48,0.28,16.76
38.450000,102.783333,-102.783333,EADS, CO,0.34,0.45,0.93,1.44,2.26,2.23,2.39,2.57,1.02,1.21,0.46,0.38,15.68
39.316667,103.083333,-103.083333,FLAGLER 1S, CO,0.33,0.31,0.87,1.30,2.27,2.86,3.16,2.66,1.09,1.03,0.47,0.37,16.72
40.666667,102.833333,-102.833333,FLEMING, CO,0.34,0.44,0.82,1.69,2.74,2.85,2.97,2.32,1.71,1.34,0.50,0.40,18.12
38.450000,103.150000,-103.150000,HASWELL, CO,0.34,0.41,0.96,1.36,2.19,1.87,2.61,2.69,1.06,0.99,0.47,0.39,15.34
38.050000,102.116667,-102.116667,HOLLY, CO,0.37,0.38,1.09,1.30,2.19,2.72,2.76,3.25,1.32,1.27,0.58,0.43,17.66
40.583333,102.300000,-102.300000,HOLYOKE, CO,0.41,0.49,1.04,1.90,3.00,3.06,2.83,2.26,1.33,1.19,0.64,0.45,18.60
39.766667,102.266667,-102.266667,IDALIA, CO,0.53,0.46,1.26,2.00,2.98,2.86,2.84,3.36,1.16,1.30,0.87,0.47,20.09
38.066667,102.916667,-102.916667,JOHN MARTIN DAM, CO,0.23,0.25,0.87,1.02,2.08,1.90,2.54,2.17,1.21,1.02,0.37,0.42,14.08
41.000000,102.250000,-102.250000,JULESBURG, CO,0.46,0.38,1.22,1.72,2.80,2.99,2.52,2.58,1.36,1.31,0.51,0.30,18.15
38.700000,102.766667,-102.766667,KIT CARSON, CO,0.28,0.23,0.82,1.19,2.39,2.79,2.49,2.78,1.09,1.21,0.42,0.36,16.05
38.083333,102.616667,-102.616667,LAMAR, CO,0.44,0.48,0.87,1.32,2.12,2.39,2.36,2.51,1.35,1.01,0.52,0.47,15.84
38.066667,103.216667,-103.216667,LAS ANIMAS, CO,0.38,0.41,0.93,1.24,1.94,1.87,2.24,1.69,1.16,1.08,0.42,0.37,13.73
40.516667,103.000000,-103.000000,LEROY 9 WSW, CO,0.34,0.41,0.99,1.63,2.70,2.76,3.03,2.28,1.28,1.12,0.57,0.41,17.52
40.850000,102.516667,-102.516667,SEDGWICK 5 S, CO,0.39,0.53,1.11,1.95,2.90,3.14,2.53,2.29,1.40,1.29,0.65,0.43,18.61
37.400000,102.616667,-102.616667,SPRINGFIELD COMANCHE, CO,0.37,0.44,1.13,1.27,2.36,2.50,2.83,2.84,1.33,1.39,0.58,0.51,17.55
37.383333,102.733333,-102.733333,SPRINGFIELD 7 WSW, CO,0.49,0.50,1.12,1.44,2.25,2.36,2.47,2.47,1.57,1.09,0.59,0.50,16.85
37.283333,102.183333,-102.183333,STONINGTON, CO,0.33,0.33,1.01,1.23,2.04,2.42,3.34,2.67,1.54,1.32,0.47,0.51,17.21
39.300000,102.600000,-102.600000,STRATTON, CO,0.41,0.55,1.15,1.97,2.81,2.83,3.04,2.61,0.88,1.32,0.62,0.45,18.64
40.083333,102.183333,-102.183333,WRAY, CO,0.47,0.47,0.98,1.83,2.87,2.44,3.08,2.49,1.24,1.37,0.71,0.37,18.32
40.133333,102.733333,-102.733333,YUMA, CO,0.28,0.41,0.86,1.70,3.00,2.59,3.07,2.51,1.41,1.19,0.48,0.39,17.89
38.916667,97.250000,-97.250000,ABILENE, KS,0.75,1.30,2.52,3.19,4.89,4.50,3.99,4.10,2.50,2.44,1.63,1.12,32.93
38.466667,99.550000,-99.550000,ALEXANDER, KS,0.61,0.78,1.86,2.08,3.48,3.63,3.87,3.21,1.74,1.44,0.87,0.95,24.52
38.866667,96.483333,-96.483333,ALTA VISTA, KS,0.84,1.32,2.68,3.58,5.07,5.92,4.51,4.36,3.37,2.82,2.06,1.29,37.82
39.433333,98.850000,-98.850000,ALTON 1 W, KS,0.58,0.67,1.98,2.47,4.16,3.80,4.44,3.48,2.34,2.02,1.24,0.86,28.04
37.150000,98.016667,-98.016667,ANTHONY, KS,1.00,1.19,2.99,3.18,4.71,5.20,3.27,2.95,2.79,2.74,1.88,1.25,33.15
37.066667,97.033333,-97.033333,ARKANSAS CITY, KS,1.06,1.48,3.09,3.53,5.27,5.71,3.68,3.78,3.42,3.36,2.31,1.45,38.14
37.200000,99.766667,-99.766667,ASHLAND, KS,0.55,0.73,1.57,1.89,3.29,3.94,2.62,2.69,1.76,1.85,0.96,0.93,22.78
39.566667,95.116667,-95.116667,ATCHISON, KS,0.94,1.11,2.09,3.39,5.28,5.11,4.68,3.91,3.90,3.03,1.86,1.42,36.72
39.783333,101.066667,-101.066667,ATWOOD, KS,0.54,0.67,1.42,2.27,3.72,3.09,3.37,3.03,1.48,1.73,0.89,0.63,22.84
38.933333,95.816667,-95.816667,AUBURN, KS,0.90,1.21,2.69,3.69,5.37,5.36,4.04,4.35,3.78,2.90,2.00,1.43,37.72
37.666667,96.983333,-96.983333,AUGUSTA, KS,0.93,1.61,2.82,3.18,5.77,5.91,4.22,4.02,3.68,3.18,2.24,1.27,38.83
39.200000,98.050000,-98.050000,BARNARD 7W, KS,0.62,0.83,2.09,2.53,4.38,3.81,4.13,3.83,2.40,1.90,1.25,0.97,28.74
39.833333,97.633333,-97.633333,BELLEVILLE, KS,0.61,0.87,2.12,2.87,4.35,4.37,3.97,3.68,3.25,2.37,1.19,0.95,30.60
39.483333,98.100000,-98.100000,BELOIT, KS,0.62,0.76,1.91,2.47,4.16,3.81,4.36,3.09,2.64,1.99,1.21,0.90,27.92
37.533333,101.566667,-101.566667,BIG BOW 4 WSW, KS,0.44,0.44,1.22,1.44,2.29,2.92,2.90,2.85,1.71,1.45,0.55,0.56,18.77
39.616667,101.550000,-101.550000,BIRD CITY 10S, KS,0.42,0.43,0.88,1.63,2.89,2.88,3.24,2.44,1.02,1.43,0.61,0.40,18.27
38.516667,99.200000,-99.200000,BISON 3NW, KS,0.58,0.84,1.85,2.33,4.08,3.90,3.69,3.00,2.17,1.57,0.99,0.86,25.86
39.500000,96.400000,-96.400000,BLAINE 4E, KS,0.82,1.17,2.28,2.94,5.03,5.36,5.28,3.93,3.24,2.52,1.54,1.21,35.32
39.683333,96.666667,-96.666667,BLUE RAPIDS, KS,0.70,0.93,2.14,2.93,4.65,4.89,4.51,3.86,3.50,2.31,1.51,1.05,32.98
